n,m,r,q
30,22,-1.1298387673071005e-14,3.728915988609407e-15
30,23,1.7432540465080417e-15,-5.695243135896857e-15
30,24,-1.4663681213820633e-16,5.7716361384031735e-15
30,25,-3.123038512230359e-15,2.9447273300893236e-15
30,26,1.2084085422053278e-15,5.718121699928651e-15
30,27,-7.863851422815776e-15,-2.5602065528582766e-15
30,28,4.618971461844021e-15,-5.616870756560286e-15
30,29,-4.085524350754116e-15,1.0200027536538418e-14
30,30,-9.3129002921774e-15,-3.723289486646157e-15
31,0,1.3472597027956032e-14,0.0
31,1,1.0834167894362592e-13,8.13324337518707e-15
31,2,-8.274052963652468e-15,-3.17521953130817e-14
31,3,3.639580582213944e-14,-3.563222139883378e-14
31,4,-2.796316794773892e-16,1.4969709971074096e-14
31,5,9.544186840919872e-15,8.262011196893032e-15
31,6,-3.5689438746624094e-15,-3.0213983361296942e-15
31,7,4.061645335528949e-15,2.4880650741790537e-15
31,8,5.971140996574645e-15,1.905129225775257e-14
31,9,-8.04626543373131e-15,1.7831563721220223e-15
31,10,2.2837032805082257e-14,-7.686608885045538e-15
31,11,1.9892873191362503e-15,2.1134873855144388e-14
31,12,-3.9699422906306915e-15,-6.617475787431945e-15
31,13,1.2935140232114602e-14,-1.0756016374948856e-16
31,14,-2.257307616168796e-15,1.0956926511993755e-14
31,15,2.0135982586361289e-16,-1.0215300846623837e-15
